               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/knife_mAP,metrics/knife_mAP_50
                   0,             0.08108,            0.025032,                   0,             0.29457,              0.2298,             0.18325,            0.066176,            0.043709,           0.0092305,                   0,            0.070073,           0.0033252,           0.0033252,            0.066176,             0.18325
                   1,            0.055829,             0.02276,                   0,             0.40837,             0.32323,             0.35908,             0.16275,            0.038141,           0.0074211,                   0,            0.037875,           0.0044612,           0.0044612,             0.16275,             0.35908
                   2,            0.048234,            0.020915,                   0,              0.5964,             0.56566,             0.60277,              0.2639,            0.031101,           0.0065167,                   0,           0.0034782,           0.0033972,           0.0033972,              0.2639,             0.60277
                   0,             0.08108,            0.025032,                   0,             0.29457,              0.2298,             0.18325,            0.066176,            0.043709,           0.0092305,                   0,            0.070073,           0.0033252,           0.0033252,            0.066176,             0.18325
                   1,            0.055829,             0.02276,                   0,             0.40837,             0.32323,             0.35908,             0.16275,            0.038141,           0.0074211,                   0,            0.037875,           0.0044612,           0.0044612,             0.16275,             0.35908
                   2,            0.048234,            0.020915,                   0,              0.5964,             0.56566,             0.60277,              0.2639,            0.031101,           0.0065167,                   0,           0.0034782,           0.0033972,           0.0033972,              0.2639,             0.60277
                   0,            0.069776,            0.025737,                   0,             0.44597,             0.53867,             0.46054,             0.18794,             0.03657,           0.0074824,                   0,            0.070073,           0.0033252,           0.0033252,             0.18794,             0.46054
                   1,            0.048956,            0.020814,                   0,             0.71438,             0.70109,             0.73749,               0.397,            0.029106,           0.0059492,                   0,            0.039414,           0.0059994,           0.0059994,               0.397,             0.73749
                   2,             0.04453,            0.018536,                   0,             0.58977,             0.65404,             0.66359,             0.30473,            0.029708,           0.0058672,                   0,           0.0080944,           0.0080135,           0.0080135,             0.30473,             0.66359
                   3,             0.04116,             0.01845,                   0,             0.75049,             0.70707,             0.75059,             0.40698,            0.025435,           0.0060895,                   0,             0.00703,             0.00703,             0.00703,             0.40698,             0.75059
